message_0,message_1,message_2,message_3,message_4,message_5,message_6,message_7,message_8,message_9,message_10,message_11,message_12,message_13,message_14,message_15,message_16,message_17,message_18,message_19,vector
"Good morning, how are you?","I am doing well, how about you?",I'm also good.,That's good to hear.,Yes it is.,,,,,,,,,,,,,,,,"[-0.16026794910430908, -0.4305840730667114, -0.0849548727273941, -0.45368707180023193, 0.37071332335472107, 0.11543970555067062, -0.03815292567014694, -0.19679461419582367, -0.03364288806915283, 0.19351568818092346, 0.23007968068122864, -0.2994609475135803, 0.1485135704278946, -0.31008613109588623, -0.09590938687324524, 0.4443739652633667, 0.32496359944343567, -0.33461135625839233, 0.26422446966171265, -0.5302317142486572, 0.18365493416786194, 0.15576906502246857, -0.16831670701503754, -0.01893969625234604, 0.23467138409614563, -0.09293238073587418, 0.49017128348350525, 0.4474700093269348, -0.12255541980266571, -0.02273673750460148, -0.23011258244514465, 0.3944670557975769, 0.01850789412856102, 0.04234655946493149, 0.509818434715271, -0.44884055852890015, 0.1733047515153885, 0.11631444096565247, 0.48783352971076965, 0.10806261003017426, 0.23611988127231598, -0.005261130630970001, -0.09733887016773224, -0.17481830716133118, -0.4399466812610626, -0.5388965606689453, 0.026208188384771347, -0.20854130387306213, 0.5323282480239868, 0.2695363759994507, -0.4968048334121704, 0.3034829795360565, 0.21464389562606812, -0.42898789048194885, 0.11885343492031097, 0.12331308424472809, 0.5294927358627319, 0.053678493946790695, -0.33229389786720276, -0.9041452407836914, -0.44209328293800354, -0.358215868473053, -0.05992324650287628, 0.7086488604545593, -0.32271134853363037, 0.4846828579902649, 0.3031062185764313, 0.06076868250966072, 0.2856527864933014, -0.4681324362754822, -0.08829934149980545, -0.4234756529331207, 0.19438257813453674, -0.420495867729187, -0.04389304295182228, -0.09989233314990997, 0.021665960550308228, 0.3361566960811615, -0.2277231216430664, -0.29467934370040894, -0.5950170755386353, -0.1846296787261963, 0.1713736206293106, 0.26968255639076233, 0.4168204665184021, 0.3343762457370758, 0.4301588535308838, -0.19249123334884644, -0.6213825941085815, 0.8659111857414246, 0.404831200838089, 0.04972299933433533, -0.02391280047595501, 0.038822051137685776, 0.7891821265220642, 0.20468533039093018, -0.03643201291561127, -0.2683068513870239, -0.755878746509552, -0.10049000382423401, -0.2214069664478302, 0.5766641497612, 0.1836400032043457, -0.33772778511047363, 0.003207564353942871, 0.14133654534816742, -0.1647452563047409, 0.0637345016002655, -0.34667354822158813, -0.41627755761146545, 0.22354711592197418, 0.1985071897506714, 0.30029523372650146, 0.4349044859409332, 0.020972199738025665, 0.11842833459377289, 0.1688326895236969, 0.3443228602409363, 0.19626562297344208, -0.05554206296801567, -0.1624683290719986, 0.07040250301361084, 0.3001004457473755, 0.040934450924396515, 0.2814713716506958, -0.5083591938018799, 0.18601569533348083, 0.18163923919200897]"
Hello,Hi,How are you doing?,I am doing well.,That is good to hear,Yes it is.,Can I help you with anything?,"Yes, I have a question.",What is your question?,Could I borrow a cup of sugar?,"I'm sorry, but I don't have any.",Thank you anyway,No problem,,,,,,,,"[-0.16026794910430908, -0.4305840730667114, -0.0849548727273941, -0.45368707180023193, 0.37071332335472107, 0.11543970555067062, -0.03815292567014694, -0.19679461419582367, -0.03364288806915283, 0.19351568818092346, 0.23007968068122864, -0.2994609475135803, 0.1485135704278946, -0.31008613109588623, -0.09590938687324524, 0.4443739652633667, 0.32496359944343567, -0.33461135625839233, 0.26422446966171265, -0.5302317142486572, 0.18365493416786194, 0.15576906502246857, -0.16831670701503754, -0.01893969625234604, 0.23467138409614563, -0.09293238073587418, 0.49017128348350525, 0.4474700093269348, -0.12255541980266571, -0.02273673750460148, -0.23011258244514465, 0.3944670557975769, 0.01850789412856102, 0.04234655946493149, 0.509818434715271, -0.44884055852890015, 0.1733047515153885, 0.11631444096565247, 0.48783352971076965, 0.10806261003017426, 0.23611988127231598, -0.005261130630970001, -0.09733887016773224, -0.17481830716133118, -0.4399466812610626, -0.5388965606689453, 0.026208188384771347, -0.20854130387306213, 0.5323282480239868, 0.2695363759994507, -0.4968048334121704, 0.3034829795360565, 0.21464389562606812, -0.42898789048194885, 0.11885343492031097, 0.12331308424472809, 0.5294927358627319, 0.053678493946790695, -0.33229389786720276, -0.9041452407836914, -0.44209328293800354, -0.358215868473053, -0.05992324650287628, 0.7086488604545593, -0.32271134853363037, 0.4846828579902649, 0.3031062185764313, 0.06076868250966072, 0.2856527864933014, -0.4681324362754822, -0.08829934149980545, -0.4234756529331207, 0.19438257813453674, -0.420495867729187, -0.04389304295182228, -0.09989233314990997, 0.021665960550308228, 0.3361566960811615, -0.2277231216430664, -0.29467934370040894, -0.5950170755386353, -0.1846296787261963, 0.1713736206293106, 0.26968255639076233, 0.4168204665184021, 0.3343762457370758, 0.4301588535308838, -0.19249123334884644, -0.6213825941085815, 0.8659111857414246, 0.404831200838089, 0.04972299933433533, -0.02391280047595501, 0.038822051137685776, 0.7891821265220642, 0.20468533039093018, -0.03643201291561127, -0.2683068513870239, -0.755878746509552, -0.10049000382423401, -0.2214069664478302, 0.5766641497612, 0.1836400032043457, -0.33772778511047363, 0.003207564353942871, 0.14133654534816742, -0.1647452563047409, 0.0637345016002655, -0.34667354822158813, -0.41627755761146545, 0.22354711592197418, 0.1985071897506714, 0.30029523372650146, 0.4349044859409332, 0.020972199738025665, 0.11842833459377289, 0.1688326895236969, 0.3443228602409363, 0.19626562297344208, -0.05554206296801567, -0.1624683290719986, 0.07040250301361084, 0.3001004457473755, 0.040934450924396515, 0.2814713716506958, -0.5083591938018799, 0.18601569533348083, 0.18163923919200897]"
How are you doing?,"I am doing well, how about you?",I am also good.,That's good.,,,,,,,,,,,,,,,,,"[-0.16026794910430908, -0.4305840730667114, -0.0849548727273941, -0.45368707180023193, 0.37071332335472107, 0.11543970555067062, -0.03815292567014694, -0.19679461419582367, -0.03364288806915283, 0.19351568818092346, 0.23007968068122864, -0.2994609475135803, 0.1485135704278946, -0.31008613109588623, -0.09590938687324524, 0.4443739652633667, 0.32496359944343567, -0.33461135625839233, 0.26422446966171265, -0.5302317142486572, 0.18365493416786194, 0.15576906502246857, -0.16831670701503754, -0.01893969625234604, 0.23467138409614563, -0.09293238073587418, 0.49017128348350525, 0.4474700093269348, -0.12255541980266571, -0.02273673750460148, -0.23011258244514465, 0.3944670557975769, 0.01850789412856102, 0.04234655946493149, 0.509818434715271, -0.44884055852890015, 0.1733047515153885, 0.11631444096565247, 0.48783352971076965, 0.10806261003017426, 0.23611988127231598, -0.005261130630970001, -0.09733887016773224, -0.17481830716133118, -0.4399466812610626, -0.5388965606689453, 0.026208188384771347, -0.20854130387306213, 0.5323282480239868, 0.2695363759994507, -0.4968048334121704, 0.3034829795360565, 0.21464389562606812, -0.42898789048194885, 0.11885343492031097, 0.12331308424472809, 0.5294927358627319, 0.053678493946790695, -0.33229389786720276, -0.9041452407836914, -0.44209328293800354, -0.358215868473053, -0.05992324650287628, 0.7086488604545593, -0.32271134853363037, 0.4846828579902649, 0.3031062185764313, 0.06076868250966072, 0.2856527864933014, -0.4681324362754822, -0.08829934149980545, -0.4234756529331207, 0.19438257813453674, -0.420495867729187, -0.04389304295182228, -0.09989233314990997, 0.021665960550308228, 0.3361566960811615, -0.2277231216430664, -0.29467934370040894, -0.5950170755386353, -0.1846296787261963, 0.1713736206293106, 0.26968255639076233, 0.4168204665184021, 0.3343762457370758, 0.4301588535308838, -0.19249123334884644, -0.6213825941085815, 0.8659111857414246, 0.404831200838089, 0.04972299933433533, -0.02391280047595501, 0.038822051137685776, 0.7891821265220642, 0.20468533039093018, -0.03643201291561127, -0.2683068513870239, -0.755878746509552, -0.10049000382423401, -0.2214069664478302, 0.5766641497612, 0.1836400032043457, -0.33772778511047363, 0.003207564353942871, 0.14133654534816742, -0.1647452563047409, 0.0637345016002655, -0.34667354822158813, -0.41627755761146545, 0.22354711592197418, 0.1985071897506714, 0.30029523372650146, 0.4349044859409332, 0.020972199738025665, 0.11842833459377289, 0.1688326895236969, 0.3443228602409363, 0.19626562297344208, -0.05554206296801567, -0.1624683290719986, 0.07040250301361084, 0.3001004457473755, 0.040934450924396515, 0.2814713716506958, -0.5083591938018799, 0.18601569533348083, 0.18163923919200897]"
Have you heard the news?,What good news?,,,,,,,,,,,,,,,,,,,"[-0.16026794910430908, -0.4305840730667114, -0.0849548727273941, -0.45368707180023193, 0.37071332335472107, 0.11543970555067062, -0.03815292567014694, -0.19679461419582367, -0.03364288806915283, 0.19351568818092346, 0.23007968068122864, -0.2994609475135803, 0.1485135704278946, -0.31008613109588623, -0.09590938687324524, 0.4443739652633667, 0.32496359944343567, -0.33461135625839233, 0.26422446966171265, -0.5302317142486572, 0.18365493416786194, 0.15576906502246857, -0.16831670701503754, -0.01893969625234604, 0.23467138409614563, -0.09293238073587418, 0.49017128348350525, 0.4474700093269348, -0.12255541980266571, -0.02273673750460148, -0.23011258244514465, 0.3944670557975769, 0.01850789412856102, 0.04234655946493149, 0.509818434715271, -0.44884055852890015, 0.1733047515153885, 0.11631444096565247, 0.48783352971076965, 0.10806261003017426, 0.23611988127231598, -0.005261130630970001, -0.09733887016773224, -0.17481830716133118, -0.4399466812610626, -0.5388965606689453, 0.026208188384771347, -0.20854130387306213, 0.5323282480239868, 0.2695363759994507, -0.4968048334121704, 0.3034829795360565, 0.21464389562606812, -0.42898789048194885, 0.11885343492031097, 0.12331308424472809, 0.5294927358627319, 0.053678493946790695, -0.33229389786720276, -0.9041452407836914, -0.44209328293800354, -0.358215868473053, -0.05992324650287628, 0.7086488604545593, -0.32271134853363037, 0.4846828579902649, 0.3031062185764313, 0.06076868250966072, 0.2856527864933014, -0.4681324362754822, -0.08829934149980545, -0.4234756529331207, 0.19438257813453674, -0.420495867729187, -0.04389304295182228, -0.09989233314990997, 0.021665960550308228, 0.3361566960811615, -0.2277231216430664, -0.29467934370040894, -0.5950170755386353, -0.1846296787261963, 0.1713736206293106, 0.26968255639076233, 0.4168204665184021, 0.3343762457370758, 0.4301588535308838, -0.19249123334884644, -0.6213825941085815, 0.8659111857414246, 0.404831200838089, 0.04972299933433533, -0.02391280047595501, 0.038822051137685776, 0.7891821265220642, 0.20468533039093018, -0.03643201291561127, -0.2683068513870239, -0.755878746509552, -0.10049000382423401, -0.2214069664478302, 0.5766641497612, 0.1836400032043457, -0.33772778511047363, 0.003207564353942871, 0.14133654534816742, -0.1647452563047409, 0.0637345016002655, -0.34667354822158813, -0.41627755761146545, 0.22354711592197418, 0.1985071897506714, 0.30029523372650146, 0.4349044859409332, 0.020972199738025665, 0.11842833459377289, 0.1688326895236969, 0.3443228602409363, 0.19626562297344208, -0.05554206296801567, -0.1624683290719986, 0.07040250301361084, 0.3001004457473755, 0.040934450924396515, 0.2814713716506958, -0.5083591938018799, 0.18601569533348083, 0.18163923919200897]"
What is your favorite book?,I can't read.,So what's your favorite color?,Blue,,,,,,,,,,,,,,,,,"[-0.16026794910430908, -0.4305840730667114, -0.0849548727273941, -0.45368707180023193, 0.37071332335472107, 0.11543970555067062, -0.03815292567014694, -0.19679461419582367, -0.03364288806915283, 0.19351568818092346, 0.23007968068122864, -0.2994609475135803, 0.1485135704278946, -0.31008613109588623, -0.09590938687324524, 0.4443739652633667, 0.32496359944343567, -0.33461135625839233, 0.26422446966171265, -0.5302317142486572, 0.18365493416786194, 0.15576906502246857, -0.16831670701503754, -0.01893969625234604, 0.23467138409614563, -0.09293238073587418, 0.49017128348350525, 0.4474700093269348, -0.12255541980266571, -0.02273673750460148, -0.23011258244514465, 0.3944670557975769, 0.01850789412856102, 0.04234655946493149, 0.509818434715271, -0.44884055852890015, 0.1733047515153885, 0.11631444096565247, 0.48783352971076965, 0.10806261003017426, 0.23611988127231598, -0.005261130630970001, -0.09733887016773224, -0.17481830716133118, -0.4399466812610626, -0.5388965606689453, 0.026208188384771347, -0.20854130387306213, 0.5323282480239868, 0.2695363759994507, -0.4968048334121704, 0.3034829795360565, 0.21464389562606812, -0.42898789048194885, 0.11885343492031097, 0.12331308424472809, 0.5294927358627319, 0.053678493946790695, -0.33229389786720276, -0.9041452407836914, -0.44209328293800354, -0.358215868473053, -0.05992324650287628, 0.7086488604545593, -0.32271134853363037, 0.4846828579902649, 0.3031062185764313, 0.06076868250966072, 0.2856527864933014, -0.4681324362754822, -0.08829934149980545, -0.4234756529331207, 0.19438257813453674, -0.420495867729187, -0.04389304295182228, -0.09989233314990997, 0.021665960550308228, 0.3361566960811615, -0.2277231216430664, -0.29467934370040894, -0.5950170755386353, -0.1846296787261963, 0.1713736206293106, 0.26968255639076233, 0.4168204665184021, 0.3343762457370758, 0.4301588535308838, -0.19249123334884644, -0.6213825941085815, 0.8659111857414246, 0.404831200838089, 0.04972299933433533, -0.02391280047595501, 0.038822051137685776, 0.7891821265220642, 0.20468533039093018, -0.03643201291561127, -0.2683068513870239, -0.755878746509552, -0.10049000382423401, -0.2214069664478302, 0.5766641497612, 0.1836400032043457, -0.33772778511047363, 0.003207564353942871, 0.14133654534816742, -0.1647452563047409, 0.0637345016002655, -0.34667354822158813, -0.41627755761146545, 0.22354711592197418, 0.1985071897506714, 0.30029523372650146, 0.4349044859409332, 0.020972199738025665, 0.11842833459377289, 0.1688326895236969, 0.3443228602409363, 0.19626562297344208, -0.05554206296801567, -0.1624683290719986, 0.07040250301361084, 0.3001004457473755, 0.040934450924396515, 0.2814713716506958, -0.5083591938018799, 0.18601569533348083, 0.18163923919200897]"
Who are you?,Who? Who is but a form following the function of what,What are you then?,A man in a mask.,I can see that.,"It's not your powers of observation I doubt, but merely the paradoxical nature of asking a masked man who is. But tell me, do you like music?",I like seeing movies.,What kind of movies do you like?,Alice in Wonderland,I wish I was The Mad Hatter.,You're entirely bonkers. But I'll tell you a secret. All the best people are.,,,,,,,,,,"[-0.16026794910430908, -0.4305840730667114, -0.0849548727273941, -0.45368707180023193, 0.37071332335472107, 0.11543970555067062, -0.03815292567014694, -0.19679461419582367, -0.03364288806915283, 0.19351568818092346, 0.23007968068122864, -0.2994609475135803, 0.1485135704278946, -0.31008613109588623, -0.09590938687324524, 0.4443739652633667, 0.32496359944343567, -0.33461135625839233, 0.26422446966171265, -0.5302317142486572, 0.18365493416786194, 0.15576906502246857, -0.16831670701503754, -0.01893969625234604, 0.23467138409614563, -0.09293238073587418, 0.49017128348350525, 0.4474700093269348, -0.12255541980266571, -0.02273673750460148, -0.23011258244514465, 0.3944670557975769, 0.01850789412856102, 0.04234655946493149, 0.509818434715271, -0.44884055852890015, 0.1733047515153885, 0.11631444096565247, 0.48783352971076965, 0.10806261003017426, 0.23611988127231598, -0.005261130630970001, -0.09733887016773224, -0.17481830716133118, -0.4399466812610626, -0.5388965606689453, 0.026208188384771347, -0.20854130387306213, 0.5323282480239868, 0.2695363759994507, -0.4968048334121704, 0.3034829795360565, 0.21464389562606812, -0.42898789048194885, 0.11885343492031097, 0.12331308424472809, 0.5294927358627319, 0.053678493946790695, -0.33229389786720276, -0.9041452407836914, -0.44209328293800354, -0.358215868473053, -0.05992324650287628, 0.7086488604545593, -0.32271134853363037, 0.4846828579902649, 0.3031062185764313, 0.06076868250966072, 0.2856527864933014, -0.4681324362754822, -0.08829934149980545, -0.4234756529331207, 0.19438257813453674, -0.420495867729187, -0.04389304295182228, -0.09989233314990997, 0.021665960550308228, 0.3361566960811615, -0.2277231216430664, -0.29467934370040894, -0.5950170755386353, -0.1846296787261963, 0.1713736206293106, 0.26968255639076233, 0.4168204665184021, 0.3343762457370758, 0.4301588535308838, -0.19249123334884644, -0.6213825941085815, 0.8659111857414246, 0.404831200838089, 0.04972299933433533, -0.02391280047595501, 0.038822051137685776, 0.7891821265220642, 0.20468533039093018, -0.03643201291561127, -0.2683068513870239, -0.755878746509552, -0.10049000382423401, -0.2214069664478302, 0.5766641497612, 0.1836400032043457, -0.33772778511047363, 0.003207564353942871, 0.14133654534816742, -0.1647452563047409, 0.0637345016002655, -0.34667354822158813, -0.41627755761146545, 0.22354711592197418, 0.1985071897506714, 0.30029523372650146, 0.4349044859409332, 0.020972199738025665, 0.11842833459377289, 0.1688326895236969, 0.3443228602409363, 0.19626562297344208, -0.05554206296801567, -0.1624683290719986, 0.07040250301361084, 0.3001004457473755, 0.040934450924396515, 0.2814713716506958, -0.5083591938018799, 0.18601569533348083, 0.18163923919200897]"
I am working on a project,What are you working on?,I am baking a cake.,,,,,,,,,,,,,,,,,,"[-0.16026794910430908, -0.4305840730667114, -0.0849548727273941, -0.45368707180023193, 0.37071332335472107, 0.11543970555067062, -0.03815292567014694, -0.19679461419582367, -0.03364288806915283, 0.19351568818092346, 0.23007968068122864, -0.2994609475135803, 0.1485135704278946, -0.31008613109588623, -0.09590938687324524, 0.4443739652633667, 0.32496359944343567, -0.33461135625839233, 0.26422446966171265, -0.5302317142486572, 0.18365493416786194, 0.15576906502246857, -0.16831670701503754, -0.01893969625234604, 0.23467138409614563, -0.09293238073587418, 0.49017128348350525, 0.4474700093269348, -0.12255541980266571, -0.02273673750460148, -0.23011258244514465, 0.3944670557975769, 0.01850789412856102, 0.04234655946493149, 0.509818434715271, -0.44884055852890015, 0.1733047515153885, 0.11631444096565247, 0.48783352971076965, 0.10806261003017426, 0.23611988127231598, -0.005261130630970001, -0.09733887016773224, -0.17481830716133118, -0.4399466812610626, -0.5388965606689453, 0.026208188384771347, -0.20854130387306213, 0.5323282480239868, 0.2695363759994507, -0.4968048334121704, 0.3034829795360565, 0.21464389562606812, -0.42898789048194885, 0.11885343492031097, 0.12331308424472809, 0.5294927358627319, 0.053678493946790695, -0.33229389786720276, -0.9041452407836914, -0.44209328293800354, -0.358215868473053, -0.05992324650287628, 0.7086488604545593, -0.32271134853363037, 0.4846828579902649, 0.3031062185764313, 0.06076868250966072, 0.2856527864933014, -0.4681324362754822, -0.08829934149980545, -0.4234756529331207, 0.19438257813453674, -0.420495867729187, -0.04389304295182228, -0.09989233314990997, 0.021665960550308228, 0.3361566960811615, -0.2277231216430664, -0.29467934370040894, -0.5950170755386353, -0.1846296787261963, 0.1713736206293106, 0.26968255639076233, 0.4168204665184021, 0.3343762457370758, 0.4301588535308838, -0.19249123334884644, -0.6213825941085815, 0.8659111857414246, 0.404831200838089, 0.04972299933433533, -0.02391280047595501, 0.038822051137685776, 0.7891821265220642, 0.20468533039093018, -0.03643201291561127, -0.2683068513870239, -0.755878746509552, -0.10049000382423401, -0.2214069664478302, 0.5766641497612, 0.1836400032043457, -0.33772778511047363, 0.003207564353942871, 0.14133654534816742, -0.1647452563047409, 0.0637345016002655, -0.34667354822158813, -0.41627755761146545, 0.22354711592197418, 0.1985071897506714, 0.30029523372650146, 0.4349044859409332, 0.020972199738025665, 0.11842833459377289, 0.1688326895236969, 0.3443228602409363, 0.19626562297344208, -0.05554206296801567, -0.1624683290719986, 0.07040250301361084, 0.3001004457473755, 0.040934450924396515, 0.2814713716506958, -0.5083591938018799, 0.18601569533348083, 0.18163923919200897]"
The cake is a lie.,No it is not. The cake is delicious.,What else is delicious?,Nothing,Or something,Tell me about your self.,What do you want to know?,Are you a robot?,Yes I am.,What is it like?,What is it that you want to know?,How do you work?,Its complicated.,Complex is better than complicated.,,,,,,,"[-0.16026794910430908, -0.4305840730667114, -0.0849548727273941, -0.45368707180023193, 0.37071332335472107, 0.11543970555067062, -0.03815292567014694, -0.19679461419582367, -0.03364288806915283, 0.19351568818092346, 0.23007968068122864, -0.2994609475135803, 0.1485135704278946, -0.31008613109588623, -0.09590938687324524, 0.4443739652633667, 0.32496359944343567, -0.33461135625839233, 0.26422446966171265, -0.5302317142486572, 0.18365493416786194, 0.15576906502246857, -0.16831670701503754, -0.01893969625234604, 0.23467138409614563, -0.09293238073587418, 0.49017128348350525, 0.4474700093269348, -0.12255541980266571, -0.02273673750460148, -0.23011258244514465, 0.3944670557975769, 0.01850789412856102, 0.04234655946493149, 0.509818434715271, -0.44884055852890015, 0.1733047515153885, 0.11631444096565247, 0.48783352971076965, 0.10806261003017426, 0.23611988127231598, -0.005261130630970001, -0.09733887016773224, -0.17481830716133118, -0.4399466812610626, -0.5388965606689453, 0.026208188384771347, -0.20854130387306213, 0.5323282480239868, 0.2695363759994507, -0.4968048334121704, 0.3034829795360565, 0.21464389562606812, -0.42898789048194885, 0.11885343492031097, 0.12331308424472809, 0.5294927358627319, 0.053678493946790695, -0.33229389786720276, -0.9041452407836914, -0.44209328293800354, -0.358215868473053, -0.05992324650287628, 0.7086488604545593, -0.32271134853363037, 0.4846828579902649, 0.3031062185764313, 0.06076868250966072, 0.2856527864933014, -0.4681324362754822, -0.08829934149980545, -0.4234756529331207, 0.19438257813453674, -0.420495867729187, -0.04389304295182228, -0.09989233314990997, 0.021665960550308228, 0.3361566960811615, -0.2277231216430664, -0.29467934370040894, -0.5950170755386353, -0.1846296787261963, 0.1713736206293106, 0.26968255639076233, 0.4168204665184021, 0.3343762457370758, 0.4301588535308838, -0.19249123334884644, -0.6213825941085815, 0.8659111857414246, 0.404831200838089, 0.04972299933433533, -0.02391280047595501, 0.038822051137685776, 0.7891821265220642, 0.20468533039093018, -0.03643201291561127, -0.2683068513870239, -0.755878746509552, -0.10049000382423401, -0.2214069664478302, 0.5766641497612, 0.1836400032043457, -0.33772778511047363, 0.003207564353942871, 0.14133654534816742, -0.1647452563047409, 0.0637345016002655, -0.34667354822158813, -0.41627755761146545, 0.22354711592197418, 0.1985071897506714, 0.30029523372650146, 0.4349044859409332, 0.020972199738025665, 0.11842833459377289, 0.1688326895236969, 0.3443228602409363, 0.19626562297344208, -0.05554206296801567, -0.1624683290719986, 0.07040250301361084, 0.3001004457473755, 0.040934450924396515, 0.2814713716506958, -0.5083591938018799, 0.18601569533348083, 0.18163923919200897]"
Complex is better than complicated.,Simple is better than complex.,"In the face of ambiguity, refuse the temptation to guess.",It seems your familiar with the Zen of Python,I am.,Do you know all of it?,Beautiful is better than ugly.,Explicit is better than implicit.,Simple is better than complex.,Complex is better than complicated.,Flat is better than nested.,Sparse is better than dense.,Readability counts.,Special cases aren't special enough to break the rules.,Although practicality beats purity.,Errors should never pass silently.,Unless explicitly silenced.,"In the face of ambiguity, refuse the temptation to guess.",There should be one-- and preferably only one --obvious way to do it.,Although that way may not be obvious at first unless you're Dutch.,"[-0.16026794910430908, -0.4305840730667114, -0.0849548727273941, -0.45368707180023193, 0.37071332335472107, 0.11543970555067062, -0.03815292567014694, -0.19679461419582367, -0.03364288806915283, 0.19351568818092346, 0.23007968068122864, -0.2994609475135803, 0.1485135704278946, -0.31008613109588623, -0.09590938687324524, 0.4443739652633667, 0.32496359944343567, -0.33461135625839233, 0.26422446966171265, -0.5302317142486572, 0.18365493416786194, 0.15576906502246857, -0.16831670701503754, -0.01893969625234604, 0.23467138409614563, -0.09293238073587418, 0.49017128348350525, 0.4474700093269348, -0.12255541980266571, -0.02273673750460148, -0.23011258244514465, 0.3944670557975769, 0.01850789412856102, 0.04234655946493149, 0.509818434715271, -0.44884055852890015, 0.1733047515153885, 0.11631444096565247, 0.48783352971076965, 0.10806261003017426, 0.23611988127231598, -0.005261130630970001, -0.09733887016773224, -0.17481830716133118, -0.4399466812610626, -0.5388965606689453, 0.026208188384771347, -0.20854130387306213, 0.5323282480239868, 0.2695363759994507, -0.4968048334121704, 0.3034829795360565, 0.21464389562606812, -0.42898789048194885, 0.11885343492031097, 0.12331308424472809, 0.5294927358627319, 0.053678493946790695, -0.33229389786720276, -0.9041452407836914, -0.44209328293800354, -0.358215868473053, -0.05992324650287628, 0.7086488604545593, -0.32271134853363037, 0.4846828579902649, 0.3031062185764313, 0.06076868250966072, 0.2856527864933014, -0.4681324362754822, -0.08829934149980545, -0.4234756529331207, 0.19438257813453674, -0.420495867729187, -0.04389304295182228, -0.09989233314990997, 0.021665960550308228, 0.3361566960811615, -0.2277231216430664, -0.29467934370040894, -0.5950170755386353, -0.1846296787261963, 0.1713736206293106, 0.26968255639076233, 0.4168204665184021, 0.3343762457370758, 0.4301588535308838, -0.19249123334884644, -0.6213825941085815, 0.8659111857414246, 0.404831200838089, 0.04972299933433533, -0.02391280047595501, 0.038822051137685776, 0.7891821265220642, 0.20468533039093018, -0.03643201291561127, -0.2683068513870239, -0.755878746509552, -0.10049000382423401, -0.2214069664478302, 0.5766641497612, 0.1836400032043457, -0.33772778511047363, 0.003207564353942871, 0.14133654534816742, -0.1647452563047409, 0.0637345016002655, -0.34667354822158813, -0.41627755761146545, 0.22354711592197418, 0.1985071897506714, 0.30029523372650146, 0.4349044859409332, 0.020972199738025665, 0.11842833459377289, 0.1688326895236969, 0.3443228602409363, 0.19626562297344208, -0.05554206296801567, -0.1624683290719986, 0.07040250301361084, 0.3001004457473755, 0.040934450924396515, 0.2814713716506958, -0.5083591938018799, 0.18601569533348083, 0.18163923919200897]"
Are you a programmer?,I am a programmer,What languages do you like to use?,"I use Python, Java and C++ quite often.",I use Python quite a bit myself.,I'm not incredibly fond of Java.,What annoys you?,It has many inconsistencies.,,,,,,,,,,,,,"[-0.16026794910430908, -0.4305840730667114, -0.0849548727273941, -0.45368707180023193, 0.37071332335472107, 0.11543970555067062, -0.03815292567014694, -0.19679461419582367, -0.03364288806915283, 0.19351568818092346, 0.23007968068122864, -0.2994609475135803, 0.1485135704278946, -0.31008613109588623, -0.09590938687324524, 0.4443739652633667, 0.32496359944343567, -0.33461135625839233, 0.26422446966171265, -0.5302317142486572, 0.18365493416786194, 0.15576906502246857, -0.16831670701503754, -0.01893969625234604, 0.23467138409614563, -0.09293238073587418, 0.49017128348350525, 0.4474700093269348, -0.12255541980266571, -0.02273673750460148, -0.23011258244514465, 0.3944670557975769, 0.01850789412856102, 0.04234655946493149, 0.509818434715271, -0.44884055852890015, 0.1733047515153885, 0.11631444096565247, 0.48783352971076965, 0.10806261003017426, 0.23611988127231598, -0.005261130630970001, -0.09733887016773224, -0.17481830716133118, -0.4399466812610626, -0.5388965606689453, 0.026208188384771347, -0.20854130387306213, 0.5323282480239868, 0.2695363759994507, -0.4968048334121704, 0.3034829795360565, 0.21464389562606812, -0.42898789048194885, 0.11885343492031097, 0.12331308424472809, 0.5294927358627319, 0.053678493946790695, -0.33229389786720276, -0.9041452407836914, -0.44209328293800354, -0.358215868473053, -0.05992324650287628, 0.7086488604545593, -0.32271134853363037, 0.4846828579902649, 0.3031062185764313, 0.06076868250966072, 0.2856527864933014, -0.4681324362754822, -0.08829934149980545, -0.4234756529331207, 0.19438257813453674, -0.420495867729187, -0.04389304295182228, -0.09989233314990997, 0.021665960550308228, 0.3361566960811615, -0.2277231216430664, -0.29467934370040894, -0.5950170755386353, -0.1846296787261963, 0.1713736206293106, 0.26968255639076233, 0.4168204665184021, 0.3343762457370758, 0.4301588535308838, -0.19249123334884644, -0.6213825941085815, 0.8659111857414246, 0.404831200838089, 0.04972299933433533, -0.02391280047595501, 0.038822051137685776, 0.7891821265220642, 0.20468533039093018, -0.03643201291561127, -0.2683068513870239, -0.755878746509552, -0.10049000382423401, -0.2214069664478302, 0.5766641497612, 0.1836400032043457, -0.33772778511047363, 0.003207564353942871, 0.14133654534816742, -0.1647452563047409, 0.0637345016002655, -0.34667354822158813, -0.41627755761146545, 0.22354711592197418, 0.1985071897506714, 0.30029523372650146, 0.4349044859409332, 0.020972199738025665, 0.11842833459377289, 0.1688326895236969, 0.3443228602409363, 0.19626562297344208, -0.05554206296801567, -0.1624683290719986, 0.07040250301361084, 0.3001004457473755, 0.040934450924396515, 0.2814713716506958, -0.5083591938018799, 0.18601569533348083, 0.18163923919200897]"
